146	178	2665	0	0
265	156	1183	0	0
467	224	1176	0	0
467	229	6495	0	0
711	134	7038	0	0
733	155	3341	0	0
733	207	920	0	0
786	160	5450	0	0
829	160	3155	0	0
920	127	4319	0	0
920	207	733	0	0
924	156	5965	0	0
924	156	6411	0	0
1077	98	6410	0	0
1077	159	3262	0	0
1121	156	890	0	0
1146	224	5450	0	0
1163	191	5037	0	0
1183	159	1077	0	0
1273	156	6165	0	0
1434	91	1145	0	0
1443	38	1154	0	0
2160	160	3313	0	0
2274	157	3262	0	0
2300	160	2290	0	0
2300	169	2658	0	0
2300	169	5613	0	0
2525	56	3724	0	0
2624	53	5736	0	0
2665	105	5323	0	0
2665	175	146	0	0
2695	169	6823	0	0
2705	160	4208	0	0
2775	156	1169	0	0
3155	38	7053	0	0
3162	127	3155	0	0
3186	0	1272	0	0
3232	127	3155	0	0
3262	142	7075	0	0
3450	177	3724	0	0
3535	18	6410	0	0
3535	65	6410	0	0
3535	155	5037	0	0
3535	191	5037	0	0
3629	127	3155	0	0
3724	87	2525	0	0
3758	2	3159	0	0
3800	185	1121	0	0
3825	160	1077	0	0
3987	157	3155	0	0
4069	56	3885	0	0
4262	229	5450	0	0
4383	163	1375	0	0
4393	38	3912	0	0
4412	53	6795	0	0
4417	229	1183	0	0
4609	56	3450	0	0
4628	123	1145	0	0
4702	134	5736	0	0
4716	156	1176	0	0
5037	169	4404	0	0
5046	156	5244	0	0
5046	160	4534	0	0
5202	38	1122	0	0
5423	38	1121	0	0
5423	150	1121	0	0
5423	173	1121	0	0
5423	229	1464	0	0
5441	105	448	0	0
5450	229	4262	0	0
5496	160	5682	0	0
5661	86	5441	0	0
5678	63	1176	0	0
5678	166	6635	0	0
5678	185	1176	0	0
5736	53	2624	0	0
5788	38	1122	0	0
5884	127	2083	0	0
5965	127	2083	0	0
6407	38	4286	0	0
6410	98	1077	0	0
6410	123	1077	0	0
6422	38	5370	0	0
6422	61	5370	0	0
6665	0	1971	0	0
6785	56	2457	0	0
6794	156	1148	0	0
6795	53	4412	0	0
6823	38	6711	0	0
7075	155	3262	0	0
7075	160	4020	0	0
5	222	3931	1	0
38	160	680	1	0
45	56	545	1	0
49	56	2457	1	0
174	160	3159	1	0
244	222	5319	1	0
293	156	2753	1	0
545	156	5584	1	0
680	127	38	1	0
711	53	6344	1	0
733	53	920	1	0
733	53	3341	1	0
733	103	3341	1	0
733	155	3341	1	0
745	160	1971	1	0
873	160	4407	1	0
920	127	733	1	0
920	127	4319	1	0
920	142	6344	1	0
921	157	1188	1	0
925	98	1077	1	0
1013	6	6047	1	0
1013	56	6047	1	0
1013	160	2442	1	0
1077	98	925	1	0
1077	103	2290	1	0
1077	123	925	1	0
1077	142	4313	1	0
1077	156	5196	1	0
1077	169	5037	1	0
1109	53	6861	1	0
1122	115	680	1	0
1145	56	226	1	0
1145	156	5094	1	0
1161	56	2442	1	0
1161	156	4114	1	0
1176	49	6635	1	0
1176	145	6635	1	0
